"VESSEL ID","RELATIONSHIP TYPE","CURRENT IND","COMPANY ID","COMPANY NAME","START DATE","START QUALIFIER","END DATE","END QUALIFIER","RECORD LAST UPDATED"
12574766,"TM","Y",433480,"TMS Cardiff Gas Limited","10/01/2018","B","","","20/02/2018"
12266407,"TM","Y",389063,"Ruico (Guangdong) Shipping & Logistics Company Limited","27/05/2015","A","","","21/02/2018"
10698111,"RO","Y",212646,"Unknown Owners","14/12/2010","B","","","21/02/2018"
10698111,"BO","Y",212646,"Unknown Owners","14/12/2010","B","","","21/02/2018"
10698111,"CO","Y",212646,"Unknown Owners","14/12/2010","B","","","21/02/2018"
10698111,"TM","Y",212646,"Unknown Owners","14/12/2010","B","","","21/02/2018"
308535,"BO","",500578,"Turkiye Vakiflar Bankasi Turk Anonim Ortakligi (T.A.O.) (VakifBank)","01/01/2001","","12/10/2016","B","22/02/2018"
308535,"CO","",103991,"Nemtas Nemrut Liman Isletmeleri A.S.","01/01/2001","","12/10/2016","B","22/02/2018"
246315,"BO","",4590,"Hsu family group","13/08/1999","","02/03/2002","","21/02/2018"
285758,"BO","",500578,"Turkiye Vakiflar Bankasi Turk Anonim Ortakligi (T.A.O.) (VakifBank)","02/09/2005","","01/05/2007","B","22/02/2018"
285758,"BO","",500578,"Turkiye Vakiflar Bankasi Turk Anonim Ortakligi (T.A.O.) (VakifBank)","02/05/2007","B","30/11/2016","B","22/02/2018"
285758,"CO","",103991,"Nemtas Nemrut Liman Isletmeleri A.S.","02/05/2007","B","30/11/2016","B","22/02/2018"
285758,"TM","",103991,"Nemtas Nemrut Liman Isletmeleri A.S.","02/05/2007","B","30/11/2016","B","22/02/2018"
12548941,"RO","Y",497863,"Spires Marine Limited","05/02/2018","A","","","21/02/2018"
12548941,"RO","",3179,"Thenamaris Ships Management Incorporated","30/07/2015","B","04/02/2018","B","21/02/2018"
12548941,"TM","Y",477168,"Thenamaris LNG Incorporated","05/02/2018","A","","","21/02/2018"
12548941,"BO","Y",484480,"Constantinos Martinos Family","05/02/2018","A","","","21/02/2018"
12548941,"CO","Y",3179,"Thenamaris Ships Management Incorporated","05/02/2018","A","","","21/02/2018"
12548941,"BO","",484480,"Constantinos Martinos Family","30/07/2015","B","04/02/2018","B","21/02/2018"
12548941,"CO","",3179,"Thenamaris Ships Management Incorporated","30/07/2015","B","04/02/2018","B","21/02/2018"
12548941,"TM","",3179,"Thenamaris Ships Management Incorporated","30/07/2015","B","04/02/2018","B","21/02/2018"
365804,"TM","Y",210401,"Guangxi Wuzhou Tongzhou Shipping Transportation Company Limited","12/01/2011","A","","","22/02/2018"
371114,"TM","Y",210401,"Guangxi Wuzhou Tongzhou Shipping Transportation Company Limited","01/03/2015","A","","","22/02/2018"
377957,"RO","Y",500575,"Tinos Marine Incorporated","20/02/2018","B","","","21/02/2018"
377957,"RO","",240295,"Syros I Maritime Incorporated","21/04/2008","A","19/02/2018","B","21/02/2018"
8462125,"BO","Y",472397,"Epic Gas Limited","02/02/2018","","","","20/02/2018"
8462125,"CO","Y",231719,"Epic Shipping (Singapore) Private Limited","02/02/2018","","","","20/02/2018"
8462124,"BO","Y",472397,"Epic Gas Limited","02/02/2018","","","","20/02/2018"
8462124,"CO","Y",231719,"Epic Shipping (Singapore) Private Limited","02/02/2018","","","","20/02/2018"
8462124,"BO","",253969,"ICON Investments Corporation","04/04/2014","","01/02/2018","","20/02/2018"
8462124,"CO","",253969,"ICON Investments Corporation","04/04/2014","","01/02/2018","","20/02/2018"
8462125,"RO","Y",500525,"MYF Islands Limited","02/02/2018","","","","20/02/2018"
8462125,"RO","",231719,"Epic Shipping (Singapore) Private Limited","23/07/2014","B","01/02/2018","B","20/02/2018"
10222706,"TM","Y",219244,"Atlantic Schepen Exploitatie Maatschappij B.V.","31/12/2016","B","","","20/02/2018"
371115,"TM","Y",210401,"Guangxi Wuzhou Tongzhou Shipping Transportation Company Limited","01/03/2015","A","","","22/02/2018"
11026682,"TM","Y",192541,"Dongguan Fenghai Ocean Shipping Company Limited","11/05/2012","A","","","22/02/2018"
284965,"BO","",4590,"Hsu family group","01/01/2005","A","11/02/2007","B","21/02/2018"
12909852,"RO","",265651,"PT Atosim Lampung Pelayaran","31/12/2007","B","20/02/2018","","20/02/2018"
349392,"BO","Y",4590,"Hsu family group","22/11/2004","A","","","21/02/2018"
349392,"CO","Y",15242,"Sincere Navigation Corporation","22/11/2004","A","","","21/02/2018"
350409,"BO","Y",4590,"Hsu family group","05/10/2005","","","","21/02/2018"
350409,"CO","Y",15242,"Sincere Navigation Corporation","05/10/2005","","","","21/02/2018"
350409,"BO","",4590,"Hsu family group","08/07/2005","A","04/10/2005","","21/02/2018"
366013,"BO","Y",286437,"BW Group Limited","25/01/2017","B","","","20/02/2018"
366013,"CO","Y",374143,"BW LPG Private Limited","25/01/2017","B","","","20/02/2018"
11069911,"TM","Y",192541,"Dongguan Fenghai Ocean Shipping Company Limited","07/03/2012","A","","","22/02/2018"
12256761,"TM","Y",123309,"COSCO Shipping Tanker (Shanghai) Company Limited","29/11/2016","A","","","22/02/2018"
12522157,"TM","Y",36046,"COSCO Shipping Tanker (Dalian) Company Limited","06/12/2017","B","","","22/02/2018"
279918,"RO","",176321,"Bangladesh Breakers","04/01/2018","B","12/01/2018","","21/02/2018"
279918,"TM","",13832,"The Shipping Corporation of India Limited","07/10/2004","A","12/01/2018","","21/02/2018"
279918,"BO","",176321,"Bangladesh Breakers","04/01/2018","B","12/01/2018","","21/02/2018"
279918,"CO","",176321,"Bangladesh Breakers","04/01/2018","B","12/01/2018","","21/02/2018"
374766,"RO","Y",212646,"Unknown Owners","20/02/2018","B","","","20/02/2018"
374766,"RO","",34348,"Moon Rise Shipping Company S.A.","20/10/2008","","19/02/2018","B","20/02/2018"
374766,"TP","",253631,"Clipper Bulk A/S","02/10/2005","A","19/02/2018","B","20/02/2018"
374766,"BO","Y",212646,"Unknown Owners","20/02/2018","B","","","20/02/2018"
374766,"CO","Y",212646,"Unknown Owners","20/02/2018","B","","","20/02/2018"
374766,"BO","",10865,"Nagashiki Kisen Company Limited","20/10/2008","","19/02/2018","B","20/02/2018"
374766,"CO","",10865,"Nagashiki Kisen Company Limited","20/10/2008","","19/02/2018","B","20/02/2018"
375035,"RO","Y",500520,"Waymed Navigation Company","15/02/2018","B","","","20/02/2018"
375035,"TM","Y",1349,"Atlantis Management Incorporated","15/02/2018","","","","20/02/2018"
375035,"TM","",5190,"First Marine Service Company Limited","29/01/2008","B","14/02/2018","","20/02/2018"
375035,"BO","Y",1349,"Atlantis Management Incorporated","15/02/2018","B","","","20/02/2018"
375035,"CO","Y",1349,"Atlantis Management Incorporated","15/02/2018","B","","","20/02/2018"
6761103,"RO","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
6761103,"RO","",80716,"P.U. Vision Private Limited","30/04/2008","A","23/08/2017","B","20/02/2018"
6761103,"BO","Y",7227,"IMC Shipping Company Private Limited","24/08/2017","B","","","20/02/2018"
6761103,"CO","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
6761103,"BO","",12411,"Pan-United Corporation Limited","30/04/2008","A","23/08/2017","B","20/02/2018"
6761103,"CO","",226300,"Pan-United Shipping Private Limited","30/04/2008","A","23/08/2017","B","20/02/2018"
12909852,"BO","",265651,"PT Atosim Lampung Pelayaran","01/01/2008","B","20/02/2018","","20/02/2018"
12909852,"CO","",265651,"PT Atosim Lampung Pelayaran","01/01/2008","B","20/02/2018","","20/02/2018"
12909852,"TM","",265651,"PT Atosim Lampung Pelayaran","01/01/2008","B","20/02/2018","","20/02/2018"
12152077,"CO","Y",468407,"Eletson Gas Maritime Limited","24/01/2016","B","","","21/02/2018"
10605367,"BO","Y",4590,"Hsu family group","17/06/2011","A","","","21/02/2018"
10605367,"CO","Y",15242,"Sincere Navigation Corporation","17/06/2011","A","","","21/02/2018"
10688333,"BO","Y",4590,"Hsu family group","10/01/2012","A","","","21/02/2018"
10688333,"CO","Y",15242,"Sincere Navigation Corporation","10/01/2012","A","","","21/02/2018"
12152070,"BO","Y",6579,"Eletson Corporation","01/10/2015","A","","","21/02/2018"
12152070,"CO","Y",468407,"Eletson Gas Maritime Limited","01/10/2015","A","","","21/02/2018"
12152077,"RO","Y",500555,"Kithnos Special Maritime Enterprises ENE","24/01/2016","B","","","21/02/2018"
12152077,"BO","Y",6579,"Eletson Corporation","01/02/2016","","","","21/02/2018"
268792,"TM","Y",474382,"Laugfs Maritime Services Private Limited","12/09/2014","A","","","21/02/2018"
12235558,"TM","Y",231095,"Sinotrans Ship Management Limited","06/01/2018","B","","","21/02/2018"
12568485,"BO","Y",5050,"Evalend Shipping Company S.A.","08/02/2018","A","","","21/02/2018"
12568485,"CO","Y",261353,"Evalend Shipping Tankers Company S.A.","08/02/2018","A","","","21/02/2018"
12568485,"BO","",5050,"Evalend Shipping Company S.A.","01/09/2015","B","07/02/2018","B","21/02/2018"
12568485,"CO","",5050,"Evalend Shipping Company S.A.","01/09/2015","B","07/02/2018","B","21/02/2018"
12568485,"TM","",5050,"Evalend Shipping Company S.A.","01/09/2015","B","07/02/2018","B","21/02/2018"
12578012,"RO","Y",500552,"Nautilus Gas Tankers Incorporated","06/06/2017","A","","","21/02/2018"
12578012,"TM","Y",203795,"Northern Marine Management USA LLC.","06/06/2017","A","","","21/02/2018"
12578012,"BO","Y",275138,"Tomza Group","06/06/2017","A","","","21/02/2018"
12578012,"CO","Y",275138,"Tomza Group","06/06/2017","A","","","21/02/2018"
272991,"BO","",4590,"Hsu family group","01/05/1996","B","09/09/1997","","21/02/2018"
4236247,"RO","Y",500549,"Diamantina Transportation Corporation","02/01/2018","","","","21/02/2018"
4236247,"RO","",283015,"Diamantina Transportation Special Maritime Enterprise","24/03/2010","B","01/01/2018","B","21/02/2018"
4236247,"BO","Y",9335,"Lykiardopulo & Company Limited","02/01/2018","","","","21/02/2018"
4236247,"CO","Y",9335,"Lykiardopulo & Company Limited","02/01/2018","","","","21/02/2018"
4236247,"BO","",9335,"Lykiardopulo & Company Limited","24/03/2010","B","01/01/2018","B","21/02/2018"
4236247,"CO","",9335,"Lykiardopulo & Company Limited","24/03/2010","B","01/01/2018","B","21/02/2018"
12821223,"RO","Y",263279,"P.T. AKR Corporindo TBK","24/08/2017","B","","","22/02/2018"
12821223,"BO","Y",263279,"P.T. AKR Corporindo TBK","24/08/2017","B","","","22/02/2018"
12821223,"CO","Y",263279,"P.T. AKR Corporindo TBK","24/08/2017","B","","","22/02/2018"
12821223,"TM","Y",263279,"P.T. AKR Corporindo TBK","24/08/2017","B","","","22/02/2018"
251716,"BO","",4590,"Hsu family group","01/01/1993","A","31/03/2001","","21/02/2018"
251716,"BO","",4590,"Hsu family group","01/04/2001","A","01/01/2004","","21/02/2018"
253376,"BO","",4590,"Hsu family group","01/01/1994","A","27/07/2009","B","21/02/2018"
8462125,"BO","",472397,"Epic Gas Limited","23/07/2014","B","01/02/2018","B","20/02/2018"
8462125,"CO","",231719,"Epic Shipping (Singapore) Private Limited","23/07/2014","B","01/02/2018","B","20/02/2018"
256606,"BO","",4590,"Hsu family group","01/01/1994","A","28/02/2001","A","21/02/2018"
256606,"BO","",4590,"Hsu family group","01/03/2001","","22/08/2005","","21/02/2018"
256606,"CO","",15242,"Sincere Navigation Corporation","01/03/2001","","22/08/2005","","21/02/2018"
256606,"TM","",15242,"Sincere Navigation Corporation","01/03/2001","","22/08/2005","","21/02/2018"
272990,"BO","",4590,"Hsu family group","15/02/1996","A","09/09/1997","","21/02/2018"
6761103,"TM","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
6761103,"TM","",226300,"Pan-United Shipping Private Limited","30/04/2008","A","23/08/2017","B","20/02/2018"
10042836,"RO","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10042836,"RO","",80716,"P.U. Vision Private Limited","07/07/2009","","23/08/2017","B","20/02/2018"
10042836,"BO","Y",7227,"IMC Shipping Company Private Limited","24/08/2017","B","","","20/02/2018"
10042836,"CO","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10042836,"BO","",12411,"Pan-United Corporation Limited","07/07/2009","","23/08/2017","B","20/02/2018"
10042836,"CO","",226300,"Pan-United Shipping Private Limited","07/07/2009","","23/08/2017","B","20/02/2018"
10042836,"TM","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10042836,"TM","",226300,"Pan-United Shipping Private Limited","07/07/2009","","23/08/2017","B","20/02/2018"
12152070,"RO","Y",1246,"Astipalea Shipping Corporation ENE","01/10/2015","A","","","21/02/2018"
10999772,"BO","Y",4590,"Hsu family group","13/05/2011","B","","","21/02/2018"
10999772,"CO","Y",15242,"Sincere Navigation Corporation","13/05/2011","B","","","21/02/2018"
11006395,"BO","Y",4590,"Hsu family group","29/03/2012","B","","","21/02/2018"
11185848,"BO","Y",4590,"Hsu family group","01/01/2013","","","","21/02/2018"
11185848,"CO","Y",15242,"Sincere Navigation Corporation","01/01/2013","","","","21/02/2018"
11185848,"TM","Y",15242,"Sincere Navigation Corporation","01/01/2013","","","","21/02/2018"
11185904,"BO","Y",4590,"Hsu family group","01/01/2013","","","","21/02/2018"
11185904,"CO","Y",15242,"Sincere Navigation Corporation","01/01/2013","","","","21/02/2018"
11185904,"TM","Y",15242,"Sincere Navigation Corporation","01/01/2013","","","","21/02/2018"
12152070,"TM","Y",6579,"Eletson Corporation","01/10/2015","A","","","21/02/2018"
9456082,"RO","Y",500561,"Anonymos Elliniki Eteria Petreleoidon Argo","26/01/2009","B","","","21/02/2018"
9456082,"BO","Y",212646,"Unknown Owners","01/02/2015","","","","21/02/2018"
9456082,"CO","Y",212646,"Unknown Owners","01/02/2015","","","","21/02/2018"
9456082,"TM","Y",212646,"Unknown Owners","01/02/2015","","","","21/02/2018"
411921,"RO","Y",500574,"Arsland Derg Limited","17/01/2018","","","","21/02/2018"
216356,"RO","",212646,"Unknown Owners","16/05/2017","B","17/12/2017","B","21/02/2018"
216356,"TM","Y",50836,"P.T. Dharma Lautan Utama","18/12/2017","B","","","21/02/2018"
216356,"TM","",11336,"Prince Kaiun Company Limited","27/03/2006","A","17/12/2017","B","21/02/2018"
216356,"BO","Y",50836,"P.T. Dharma Lautan Utama","18/12/2017","B","","","21/02/2018"
216356,"CO","Y",50836,"P.T. Dharma Lautan Utama","18/12/2017","B","","","21/02/2018"
216356,"BO","",212646,"Unknown Owners","16/05/2017","B","17/12/2017","B","21/02/2018"
216356,"CO","",212646,"Unknown Owners","16/05/2017","B","17/12/2017","B","21/02/2018"
10062050,"RO","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10062050,"RO","",80716,"P.U. Vision Private Limited","02/08/2009","","23/08/2017","B","20/02/2018"
10062050,"BO","Y",7227,"IMC Shipping Company Private Limited","24/08/2017","B","","","20/02/2018"
10062050,"CO","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10062050,"BO","",12411,"Pan-United Corporation Limited","02/08/2009","","23/08/2017","B","20/02/2018"
10062050,"CO","",226300,"Pan-United Shipping Private Limited","02/08/2009","","23/08/2017","B","20/02/2018"
10062050,"TM","Y",256783,"P.T. Pelita Samudera Shipping","24/08/2017","B","","","20/02/2018"
10062050,"TM","",226300,"Pan-United Shipping Private Limited","02/08/2009","","23/08/2017","B","20/02/2018"
12827980,"BO","",212646,"Unknown Owners","01/01/2017","B","07/11/2017","B","20/02/2018"
11006508,"TM","Y",100662,"Heng Tong Fuels & Shipping Private Limited","08/08/2012","B","","","22/02/2018"
11127273,"TP","Y",286295,"United Maritime Australia Proprietary Limited","26/12/2017","B","","","22/02/2018"
12236390,"BO","Y",4590,"Hsu family group","10/03/2017","B","","","21/02/2018"
12236390,"BO","",4590,"Hsu family group","01/01/2013","B","09/03/2017","","21/02/2018"
12244468,"BO","Y",4590,"Hsu family group","07/01/2016","A","","","21/02/2018"
12427581,"BO","Y",4590,"Hsu family group","10/02/2015","B","","","21/02/2018"
12427581,"CO","Y",15242,"Sincere Navigation Corporation","10/02/2015","B","","","21/02/2018"
12568485,"RO","Y",500554,"Miura Shipping S.A.","08/02/2018","A","","","21/02/2018"
12568485,"RO","",5050,"Evalend Shipping Company S.A.","01/09/2015","B","07/02/2018","B","21/02/2018"
12568485,"TM","Y",247898,"Bernhard Schulte Shipmanagement (Hellas) SPLL C.","08/02/2018","A","","","21/02/2018"
12827980,"CO","",212646,"Unknown Owners","25/10/2014","B","07/11/2017","B","20/02/2018"
12827980,"TM","Y",255856,"L-Shipping Limited","08/11/2017","B","","","20/02/2018"
12869873,"RO","",212646,"Unknown Owners","16/10/2017","B","20/02/2018","","20/02/2018"
12869873,"BO","",212646,"Unknown Owners","16/10/2017","B","20/02/2018","","20/02/2018"
12869873,"CO","",212646,"Unknown Owners","16/10/2017","B","20/02/2018","","20/02/2018"
12869873,"TM","",212646,"Unknown Owners","16/10/2017","B","20/02/2018","","20/02/2018"
113116,"RO","Y",500530,"Rose M Shipping Incorporated","16/02/2018","","","","20/02/2018"
113116,"RO","",356823,"Aegean Rose Maritime Company","16/05/2012","B","15/02/2018","","20/02/2018"
113116,"BO","Y",212646,"Unknown Owners","16/02/2018","","","","20/02/2018"
113116,"CO","Y",212646,"Unknown Owners","16/02/2018","","","","20/02/2018"
113116,"BO","",47231,"Aegean Marine Petroleum S.A.","16/05/2012","B","15/02/2018","","20/02/2018"
113116,"CO","",261559,"Aegean Management Services M.C.","16/05/2012","B","15/02/2018","","20/02/2018"
224550,"BO","",4590,"Hsu family group","01/01/1990","","30/09/1996","","21/02/2018"
215352,"RO","",68352,"Methal Maritime Company","01/01/1990","A","14/02/2018","B","21/02/2018"
215352,"RO","",176367,"Turkish Breakers","15/02/2018","B","19/02/2018","","21/02/2018"
215352,"BO","",68353,"Michael Spanos","01/01/1990","A","14/02/2018","B","21/02/2018"
215352,"CO","",68353,"Michael Spanos","01/01/1990","A","14/02/2018","B","21/02/2018"
215352,"BO","",176367,"Turkish Breakers","15/02/2018","B","19/02/2018","","21/02/2018"
215352,"CO","",176367,"Turkish Breakers","15/02/2018","B","19/02/2018","","21/02/2018"
215352,"TM","",68353,"Michael Spanos","01/01/1990","A","14/02/2018","B","21/02/2018"
215352,"TM","",176367,"Turkish Breakers","15/02/2018","B","19/02/2018","","21/02/2018"
114562,"BO","",500578,"Turkiye Vakiflar Bankasi Turk Anonim Ortakligi (T.A.O.) (VakifBank)","21/02/2005","B","12/02/2009","B","22/02/2018"
114562,"CO","",103991,"Nemtas Nemrut Liman Isletmeleri A.S.","21/02/2005","B","12/02/2009","B","22/02/2018"
114562,"TM","",103991,"Nemtas Nemrut Liman Isletmeleri A.S.","21/02/2005","B","12/02/2009","B","22/02/2018"
427002,"BO","",4590,"Hsu family group","10/01/2011","","31/07/2013","B","21/02/2018"
574964,"RO","Y",243319,"Amphicleia Shipping Incorporated","01/09/2015","A","","","21/02/2018"
574964,"RO","",468092,"Serenea Special Maritime Enterprise (ENE)","21/10/2013","B","31/08/2015","B","21/02/2018"
574964,"BO","Y",28728,"Chandris Hellas Group","01/09/2015","A","","","21/02/2018"
574964,"CO","Y",2927,"Chandris (Hellas) Incorporated","01/09/2015","A","","","21/02/2018"
574964,"BO","",28728,"Chandris Hellas Group","21/10/2013","B","31/08/2015","B","21/02/2018"
574964,"CO","",2927,"Chandris (Hellas) Incorporated","21/10/2013","B","31/08/2015","B","21/02/2018"
755527,"RO","Y",263403,"Four Handy Limited","24/10/2009","B","","","20/02/2018"
755527,"TM","Y",13113,"Premuda S.p.A.","11/01/2018","","","","20/02/2018"
755527,"TM","",30766,"V. Ships (UK) Limited","24/10/2009","B","10/01/2018","","20/02/2018"
755527,"BO","Y",496388,"Pillarstone Europe","06/04/2017","B","","","20/02/2018"
755527,"BO","",13113,"Premuda S.p.A.","24/10/2009","B","05/04/2017","B","20/02/2018"
755527,"CO","Y",13113,"Premuda S.p.A.","24/10/2009","B","","","20/02/2018"
3668151,"RO","Y",263403,"Four Handy Limited","12/10/2011","A","","","20/02/2018"
3668151,"BO","Y",496388,"Pillarstone Europe","06/04/2017","B","","","20/02/2018"
140215,"BO","",500578,"Turkiye Vakiflar Bankasi Turk Anonim Ortakligi (T.A.O.) (VakifBank)","19/07/2001","B","22/11/2010","B","22/02/2018"
140215,"CO","",103991,"Nemtas Nemrut Liman Isletmeleri A.S.","19/07/2001","B","22/11/2010","B","22/02/2018"
