"VESSEL ID","FLAG ID","FLAG CODE","CURRENT IND","START DATE","START QUALIFIER","END DATE","END QUALIFIER","RECORD LAST UPDATED"
1422,1328,"GRC","Y","10/05/1981","O","","","20/02/2018"
11674,9297241,"GRC","Y","12/04/2009","B","","","20/02/2018"
12241,164500,"GRC","Y","09/06/1999","A","","","20/02/2018"
15333,12557649,"ALB","Y","13/11/2017","B","","","22/02/2018"
17420,8733940,"GRC","Y","17/06/2008","B","","","20/02/2018"
20771,9699825,"GRC","Y","21/08/2009","B","","","20/02/2018"
35507,107263,"GRC","Y","01/01/1994","A","","","20/02/2018"
44415,170125,"GRC","Y","03/08/2001","B","","","20/02/2018"
46107,108144,"GRC","","02/03/1994","O","17/02/2018","B","21/02/2018"
46107,12574323,"TGO","Y","18/02/2018","B","","","21/02/2018"
55060,148744,"GRC","Y","24/02/1998","A","","","20/02/2018"
60503,10604059,"GRC","Y","20/07/2011","B","","","20/02/2018"
70463,8174179,"GRC","Y","10/08/2008","B","","","20/02/2018"
71133,47865,"GRC","Y","05/12/1990","A","","","20/02/2018"
102362,54186,"GRC","Y","24/04/1986","O","","","20/02/2018"
104555,12471335,"GRC","Y","21/07/2016","B","","","20/02/2018"
113116,8912355,"GRC","","29/11/2008","B","15/02/2018","B","20/02/2018"
113116,12574237,"PLW","Y","16/02/2018","B","","","20/02/2018"
113604,59894,"GRC","Y","31/12/1978","O","","","20/02/2018"
115106,12001028,"GRC","Y","02/05/2013","B","","","20/02/2018"
120474,702995,"GRC","Y","21/09/2007","B","","","20/02/2018"
121205,191157,"IDN","Y","29/07/2001","A","","","22/02/2018"
123101,121206,"GRC","Y","21/11/1987","O","","","20/02/2018"
123715,8404989,"GRC","Y","21/08/2008","B","","","20/02/2018"
127432,348612,"GRC","Y","19/01/2007","B","","","20/02/2018"
127612,65873,"THA","Y","15/12/1992","O","","","22/02/2018"
132417,150211,"GRC","Y","01/05/1998","","","","20/02/2018"
132447,7343360,"GRC","Y","01/07/2008","B","","","20/02/2018"
141015,12573921,"MHL","Y","29/12/2017","B","","","20/02/2018"
142260,70687,"GRC","Y","31/12/1980","O","","","20/02/2018"
155655,76333,"GRC","Y","29/06/1983","O","","","20/02/2018"
163542,123063,"GRC","Y","02/05/1983","O","","","20/02/2018"
164401,160210,"SGP","Y","20/12/1999","","","","22/02/2018"
171675,81873,"GRC","Y","08/08/1991","O","","","20/02/2018"
172566,9783424,"GRC","Y","01/12/2009","B","","","20/02/2018"
177463,10602408,"LBR","Y","10/06/2011","","","","21/02/2018"
210043,11584915,"GRC","Y","15/04/2013","B","","","20/02/2018"
215352,124601,"GRC","","23/08/1988","A","17/02/2018","B","21/02/2018"
215352,12574324,"TGO","Y","18/02/2018","B","","","21/02/2018"
215757,385576,"GRC","Y","18/07/2007","B","","","20/02/2018"
217304,10680408,"KOR","Y","24/01/2012","B","","","20/02/2018"
220556,9383145,"GRC","Y","06/05/2009","B","","","20/02/2018"
221646,9435246,"GRC","Y","14/05/2009","B","","","20/02/2018"
222666,9473647,"GRC","Y","28/05/2009","B","","","20/02/2018"
236222,12329503,"LBR","Y","12/12/2015","B","","","21/02/2018"
240635,95178,"GRC","Y","09/04/1988","O","","","20/02/2018"
241641,742856,"GRC","Y","27/09/2007","B","","","20/02/2018"
245412,215353,"MLT","","24/02/2005","B","20/02/2018","B","22/02/2018"
245412,12574458,"PAN","Y","21/02/2018","B","","","22/02/2018"
245770,12549885,"PAN","","14/09/2017","B","16/02/2018","B","22/02/2018"
245770,12574433,"PHL","Y","17/02/2018","B","","","22/02/2018"
247140,106729,"GRC","Y","02/10/1993","O","","","21/02/2018"
252117,377269,"GRC","Y","16/10/2006","B","","","20/02/2018"
268123,115175,"GRC","Y","01/01/1944","O","","","20/02/2018"
272723,131890,"GRC","Y","29/02/1996","B","","","20/02/2018"
272725,131894,"GRC","Y","15/02/1996","B","","","20/02/2018"
273260,132431,"GRC","Y","29/03/1996","B","","","20/02/2018"
273455,132640,"GRC","Y","01/01/1959","A","","","20/02/2018"
277982,137217,"GRC","Y","01/01/1980","A","","","20/02/2018"
278275,12573228,"CYP","Y","09/02/2018","B","","","19/02/2018"
279918,139717,"IND","Y","20/11/1996","B","","","21/02/2018"
280229,140239,"TUR","","01/01/1997","B","01/09/2017","B","20/02/2018"
280229,12574282,"GRC","Y","02/09/2017","B","","","20/02/2018"
281414,12506838,"GRC","Y","19/01/2017","B","","","20/02/2018"
281657,142269,"GRC","Y","01/01/1997","B","","","20/02/2018"
284016,11227992,"GRC","Y","27/11/2012","","","","20/02/2018"
285648,11972533,"MHL","","07/04/2014","B","21/02/2018","B","22/02/2018"
285648,12574424,"IND","Y","22/02/2018","B","","","22/02/2018"
293265,12573913,"CYP","Y","16/02/2018","B","","","19/02/2018"
293753,153320,"GRC","Y","01/01/1998","B","","","20/02/2018"
294194,166057,"SAU","","11/12/2000","B","28/02/2018","B","20/02/2018"
294194,12574233,"DMA","Y","01/03/2018","B","","","20/02/2018"
296710,155056,"GRC","Y","01/01/1978","B","","","20/02/2018"
297489,155264,"GRC","Y","01/01/1981","B","","","21/02/2018"
299131,155588,"GRC","Y","01/01/1999","B","","","20/02/2018"
303762,226849,"MHL","","22/06/2005","","18/02/2018","B","20/02/2018"
303762,12574219,"IDN","Y","19/02/2018","B","","","20/02/2018"
305662,195155,"GRC","Y","14/06/2003","A","","","20/02/2018"
310064,161434,"GRC","Y","01/01/2000","B","","","20/02/2018"
310691,12121055,"GRC","Y","14/12/2014","B","","","20/02/2018"
312504,8728801,"MHL","","30/09/2008","","23/01/2018","O","21/02/2018"
312968,162792,"GRC","Y","01/01/2000","B","","","20/02/2018"
312989,162808,"GRC","Y","01/01/2000","B","","","20/02/2018"
314306,192478,"GRC","Y","02/04/2003","A","","","20/02/2018"
314714,163722,"GRC","Y","01/01/2000","B","","","20/02/2018"
314715,213546,"GRC","Y","11/01/2005","","","","20/02/2018"
315224,193859,"GRC","Y","01/05/2003","A","","","20/02/2018"
323762,219610,"SAU","","05/05/2005","B","13/01/2018","B","21/02/2018"
323762,12574361,"DMA","Y","14/01/2018","B","","","21/02/2018"
325084,10302714,"HKG","","07/12/2010","B","23/10/2017","B","21/02/2018"
325084,12574351,"GEO","","24/10/2017","B","13/02/2018","B","22/02/2018"
325084,12574425,"HKG","Y","14/02/2018","B","","","22/02/2018"
325448,168206,"GRC","Y","01/01/2001","B","","","20/02/2018"
327937,201461,"GRC","Y","18/01/2004","","","","20/02/2018"
327938,203379,"GRC","Y","01/02/2004","A","","","20/02/2018"
327967,169520,"GRC","Y","01/01/2001","B","","","20/02/2018"
327968,169521,"GRC","Y","01/01/2001","B","","","20/02/2018"
328717,204286,"GRC","Y","22/03/2004","A","","","20/02/2018"
328718,205670,"GRC","Y","01/01/2001","","","","20/02/2018"
332020,11936044,"GRC","Y","31/10/2013","B","","","20/02/2018"
337321,200995,"GRC","Y","10/10/2003","T","","","20/02/2018"
341232,182314,"GRC","Y","01/01/1979","A","","","20/02/2018"
343504,184902,"GRC","Y","01/01/1984","A","","","20/02/2018"
343982,11965151,"GRC","Y","02/02/2014","B","","","20/02/2018"
345644,10400178,"FRO","","21/09/2010","B","20/02/2018","B","22/02/2018"
345644,12574427,"SWE","Y","21/02/2018","B","","","22/02/2018"
346400,189805,"GRC","Y","01/01/2002","A","","","20/02/2018"
346951,10638162,"GRC","Y","17/10/2011","B","","","20/02/2018"
348636,192831,"GRC","Y","01/01/2002","A","","","20/02/2018"
349832,11971446,"GRC","Y","29/03/2014","B","","","20/02/2018"
349962,194709,"GRC","Y","01/05/2003","B","","","20/02/2018"
351349,202305,"GRC","Y","01/01/2004","B","","","20/02/2018"
351950,197871,"GRC","Y","01/08/2003","B","","","20/02/2018"
353312,10606551,"GRC","Y","28/07/2011","B","","","20/02/2018"
353313,10655697,"GRC","Y","01/12/2011","B","","","20/02/2018"
353655,473987,"GRC","Y","06/09/2007","B","","","20/02/2018"
353670,232807,"GRC","Y","07/11/2005","A","","","20/02/2018"
354631,202301,"GRC","Y","01/01/2004","B","","","20/02/2018"
354704,12350092,"GRC","Y","24/03/2016","B","","","20/02/2018"
355972,12470319,"BHS","","18/07/2016","B","20/02/2018","B","21/02/2018"
355972,12574331,"PAN","Y","21/02/2018","B","","","21/02/2018"
356660,433755,"GRC","Y","27/08/2007","B","","","20/02/2018"
359663,12344335,"GRC","Y","21/02/2016","B","","","20/02/2018"
361521,1554019,"GRC","Y","29/11/2007","B","","","20/02/2018"
362417,224809,"GRC","Y","01/07/2005","A","","","20/02/2018"
366078,276856,"MLT","","02/02/2005","","20/02/2018","B","22/02/2018"
366078,12574421,"LBR","Y","21/02/2018","B","","","22/02/2018"
374766,236785,"PAN","","03/09/2008","","19/02/2018","B","20/02/2018"
374766,12574224,"MHL","Y","20/02/2018","B","","","20/02/2018"
390564,246138,"GRC","Y","01/01/2006","B","","","20/02/2018"
390566,246140,"GRC","Y","01/01/2006","B","","","20/02/2018"
407563,258876,"PAN","","16/02/2009","","18/02/2018","B","20/02/2018"
407563,12574225,"MHL","Y","19/02/2018","B","","","20/02/2018"
423185,6421444,"GIB","","01/06/2006","B","20/02/2018","B","21/02/2018"
423185,12574329,"MHL","Y","21/02/2018","B","","","21/02/2018"
548475,274497,"GRC","Y","01/07/2006","B","","","20/02/2018"
548495,274499,"GRC","Y","01/07/2006","B","","","20/02/2018"
548496,274500,"GRC","Y","01/07/2006","B","","","20/02/2018"
548497,274501,"GRC","Y","01/07/2006","B","","","20/02/2018"
574964,276360,"GRC","Y","01/06/2009","B","","","21/02/2018"
610821,322437,"GRC","Y","15/11/2006","B","","","20/02/2018"
610929,322545,"GRC","Y","15/11/2006","B","","","20/02/2018"
611134,322750,"GRC","Y","01/08/2006","B","","","20/02/2018"
627583,9217399,"GRC","Y","25/03/2009","B","","","20/02/2018"
627584,9467747,"GRC","Y","25/05/2009","B","","","20/02/2018"
627601,9676424,"GRC","Y","28/07/2009","B","","","20/02/2018"
727294,11980625,"GRC","Y","24/05/2014","B","","","20/02/2018"
744065,370613,"GRC","Y","01/03/2007","B","","","20/02/2018"
749616,9158700,"GRC","Y","05/12/2008","","","","20/02/2018"
749618,9751018,"GRC","Y","21/10/2009","B","","","20/02/2018"
749630,11994780,"GRC","Y","08/08/2014","B","","","20/02/2018"
749838,377413,"GRC","Y","01/01/2007","B","","","20/02/2018"
754510,382984,"GRC","Y","14/09/2010","B","","","20/02/2018"
755527,9435402,"CYM","","01/05/2007","B","09/01/2018","B","20/02/2018"
755527,12569892,"MLT","Y","10/01/2018","B","","","20/02/2018"
755745,384315,"GRC","Y","01/03/2007","B","","","20/02/2018"
755750,384320,"GRC","Y","01/02/2007","B","","","20/02/2018"
755754,384324,"GRC","Y","01/02/2007","B","","","20/02/2018"
756460,385065,"GRC","Y","03/07/2010","B","","","20/02/2018"
756481,385087,"PAN","","20/10/2009","","20/02/2018","B","21/02/2018"
756481,12574322,"MHL","Y","21/02/2018","B","","","21/02/2018"
756739,385428,"GRC","Y","02/04/2006","B","","","20/02/2018"
756788,385426,"GRC","Y","01/03/2007","B","","","20/02/2018"
762295,7915737,"GRC","Y","29/07/2008","B","","","20/02/2018"
937751,11877337,"GRC","Y","01/10/2013","B","","","20/02/2018"
1068656,698874,"GRC","Y","01/07/2007","B","","","20/02/2018"
1068662,9344362,"GRC","Y","23/04/2009","B","","","20/02/2018"
1098377,728722,"GRC","Y","01/08/2007","B","","","20/02/2018"
1264820,12525581,"TUV","","05/04/2017","B","21/02/2018","B","22/02/2018"
1264820,12574423,"HKG","Y","22/02/2018","B","","","22/02/2018"
1753246,1384546,"GRC","Y","01/03/1990","A","","","21/02/2018"
1925496,11977289,"GRC","Y","07/05/2014","B","","","20/02/2018"
3414693,6925964,"GRC","Y","20/06/2008","B","","","20/02/2018"
3970868,11928012,"GRC","Y","22/10/2013","B","","","20/02/2018"
6761103,6363947,"SGP","","30/04/2008","A","22/06/2017","B","20/02/2018"
6761103,12574260,"KIR","","23/06/2017","B","23/08/2017","B","20/02/2018"
6761103,12574259,"IDN","Y","24/08/2017","B","","","20/02/2018"
7163161,6766248,"PAN","","15/04/2008","","20/02/2018","B","21/02/2018"
7163161,12574327,"VEN","Y","21/02/2018","B","","","21/02/2018"
7172710,6775800,"GRC","Y","15/03/2012","B","","","20/02/2018"
9336446,8942866,"GRC","Y","09/12/2008","B","","","20/02/2018"
9456082,9063562,"GRC","Y","01/01/1998","B","","","21/02/2018"
9561615,9169782,"GRC","Y","15/04/2011","B","","","20/02/2018"
9635799,12531620,"MHL","","02/06/2017","B","28/01/2018","B","20/02/2018"
9635799,12571962,"MLT","Y","29/01/2018","B","","","20/02/2018"
9778028,9454502,"GRC","Y","31/12/2004","B","","","20/02/2018"
10042836,9723517,"SGP","","07/07/2009","","22/06/2017","B","20/02/2018"
10042836,12574262,"KIR","","23/06/2017","B","23/08/2017","B","20/02/2018"
10042836,12574261,"IDN","Y","24/08/2017","B","","","20/02/2018"
10062050,9743488,"SGP","","02/08/2009","","22/06/2017","B","20/02/2018"
10062050,12574263,"KIR","","23/06/2017","B","23/08/2017","B","20/02/2018"
10062050,12574264,"IDN","Y","24/08/2017","B","","","20/02/2018"
10247609,9896164,"GRC","Y","01/04/2010","B","","","20/02/2018"
10307311,9956942,"GRC","Y","01/03/2010","A","","","20/02/2018"
10307312,9956943,"GRC","Y","01/03/2010","A","","","20/02/2018"
10381551,10033503,"GRC","Y","31/12/1993","B","","","20/02/2018"
10459274,10647435,"GRC","Y","09/09/2011","B","","","20/02/2018"
10459358,10638097,"GRC","Y","17/10/2011","B","","","20/02/2018"
10514954,11790603,"GRC","Y","29/06/2013","B","","","20/02/2018"
10519048,10123635,"GRC","Y","01/01/2008","B","","","20/02/2018"
10519232,10123819,"GRC","Y","03/09/2010","B","","","20/02/2018"
10656621,10262573,"GRC","Y","16/11/2010","B","","","20/02/2018"
10682302,10743052,"GRC","Y","31/12/2011","B","","","20/02/2018"
10682303,10743072,"GRC","Y","22/03/2012","B","","","20/02/2018"
10997009,10603782,"GRC","Y","03/11/2009","B","","","20/02/2018"
10999769,10607130,"GRC","Y","16/07/2011","B","","","20/02/2018"
11005157,11056772,"GRC","Y","23/10/2012","B","","","20/02/2018"
11005208,11963815,"GRC","Y","17/01/2014","B","","","20/02/2018"
11044975,10659332,"GRC","Y","01/12/2003","B","","","20/02/2018"
11046309,10660734,"GRC","Y","01/01/2007","A","","","20/02/2018"
11047284,10661808,"GRC","Y","19/08/2010","B","","","20/02/2018"
11057291,10676928,"GRC","Y","01/07/2011","B","","","20/02/2018"
11081461,10706193,"GRC","Y","11/03/2012","B","","","20/02/2018"
11082113,10706855,"GRC","Y","10/06/2010","B","","","20/02/2018"
11083551,10708410,"GRC","Y","18/10/2010","B","","","20/02/2018"
11086030,10710900,"GRC","Y","17/03/2012","B","","","20/02/2018"
11086725,10711629,"GRC","Y","01/01/2002","B","","","20/02/2018"
11090308,10716563,"GRC","Y","01/01/2004","A","","","20/02/2018"
11090488,10716754,"GRC","Y","01/05/1999","B","","","20/02/2018"
11092010,10718311,"GRC","Y","01/06/2008","B","","","20/02/2018"
11092024,10718325,"GRC","Y","01/11/1979","B","","","20/02/2018"
11092584,10718880,"GRC","Y","01/07/2005","B","","","20/02/2018"
11097096,10724760,"GRC","Y","29/03/2012","B","","","20/02/2018"
11099276,10727267,"GRC","Y","18/06/2001","B","","","20/02/2018"
11107548,10736453,"GRC","Y","01/03/2012","B","","","20/02/2018"
11107935,10736859,"GRC","Y","11/04/2012","B","","","20/02/2018"
11378687,11057490,"GRC","Y","24/10/2012","B","","","20/02/2018"
11696552,11389733,"GRC","Y","01/11/2016","B","","","21/02/2018"
11696724,11389924,"GRC","Y","09/01/2013","B","","","20/02/2018"
11744680,11970623,"LUX","","25/03/2014","B","21/02/2018","B","22/02/2018"
11744680,12574430,"CYP","Y","22/02/2018","B","","","22/02/2018"
11896686,11604162,"GRC","Y","30/04/2013","B","","","20/02/2018"
12035050,12337246,"GRC","Y","19/01/2016","B","","","20/02/2018"
12035052,11752522,"GRC","Y","23/07/2013","B","","","20/02/2018"
12035056,12345666,"GRC","Y","01/03/2016","B","","","20/02/2018"
12117355,11839900,"GRC","Y","17/09/2013","B","","","20/02/2018"
12152070,11875952,"GRC","Y","01/09/2015","B","","","21/02/2018"
12152075,12167813,"GRC","Y","25/02/2015","B","","","20/02/2018"
12152077,11875966,"GRC","Y","01/01/2016","B","","","21/02/2018"
12152079,11875970,"GRC","Y","01/10/2013","B","","","20/02/2018"
12152080,11875972,"GRC","Y","01/10/2013","B","","","20/02/2018"
12238093,11964087,"GRC","Y","01/01/2000","A","","","20/02/2018"
12238110,12335430,"GRC","Y","09/01/2016","B","","","20/02/2018"
12238196,11964248,"GRC","Y","01/03/2006","B","","","20/02/2018"
12239431,11965913,"GRC","Y","11/02/2014","B","","","20/02/2018"
12258766,11988105,"GRC","Y","08/07/2014","B","","","20/02/2018"
12258788,11988139,"GRC","Y","08/07/2014","B","","","20/02/2018"
12258789,12336377,"GRC","Y","15/01/2016","B","","","20/02/2018"
12331105,12062688,"GRC","Y","28/10/2014","B","","","20/02/2018"
12415959,12149212,"GRC","Y","31/12/2014","B","","","20/02/2018"
12423758,12157294,"GRC","Y","03/02/2015","B","","","20/02/2018"
12499929,12235623,"GRC","Y","02/06/2015","B","","","20/02/2018"
12531525,12268206,"GRC","Y","21/07/2015","B","","","20/02/2018"
12568482,12306374,"MHL","","12/02/2018","O","13/02/2018","O","20/02/2018"
12569968,12307958,"MLT","Y","10/01/2018","A","","","20/02/2018"
12574766,12313143,"UNK","","15/10/2015","B","03/01/2018","B","20/02/2018"
12574766,12313144,"MLT","Y","04/01/2018","B","","","20/02/2018"
12577758,12319046,"LBR","Y","03/11/2015","B","","","20/02/2018"
12600023,12343221,"GRC","Y","14/02/2016","B","","","20/02/2018"
12695272,12438849,"GRC","Y","30/05/2016","B","","","20/02/2018"
12720644,12462557,"GRC","Y","16/06/2016","B","","","20/02/2018"
12730342,12468970,"GRC","Y","13/07/2016","B","","","20/02/2018"
12735777,12472667,"GRC","Y","27/07/2016","B","","","20/02/2018"
12741861,12478947,"GRC","Y","24/08/2016","B","","","20/02/2018"
12775185,12515922,"CHN","","07/03/2017","B","08/01/2018","B","20/02/2018"
12775185,12571070,"BLZ","Y","09/01/2018","B","","","20/02/2018"
12775370,12516148,"GRC","Y","09/03/2017","B","","","20/02/2018"
12825899,12547234,"GRC","Y","28/08/2017","B","","","20/02/2018"
12909852,12574239,"IDN","Y","31/12/2007","B","","","20/02/2018"
12909868,12574249,"IDN","Y","20/02/2018","B","","","21/02/2018"
